"Path 1","Path 2","Path 3","Path 4","Path 5","URLs","Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"","","assets/","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","founder.jpg","","1","https://mos2es.com/assets/founder.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","46013","46013","46013","6.819","","0","","","","","0.000","2","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.370","","","","","","1.1","","","","","","https://mos2es.com/assets/founder.jpg","2026-07-10 04:11:43"
"","","deck-stage.js","","","1","https://mos2es.com/deck-stage.js","application/javascript; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.303","","","","","","1.1","","","","","","https://mos2es.com/deck-stage.js","2026-07-10 04:11:43"
"","","img/","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","benchmarks/","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","poster_honest","1","https://mos2es.com/img/benchmarks/poster_honest","text/html; charset=UTF-8","200","OK","Indexable","","MO§ES™ — Honest Comparison vs. Field Average","44","439","","0","0","","0","","0","","0","","0","","","","","","","","","","13094","3014","3014","0.447","","266","91","2.923","100.000","Very Easy","10.910","2","2","","1","1","0","6.250","0","0","0","0","0","0","","","","","a301266203e1f6d86e1e2ac6b43d9168","0.589","","","","","en","1.1","","","","","","https://mos2es.com/img/benchmarks/poster_honest","2026-07-10 04:11:44"
"","","","","poster_honest_portrait","1","https://mos2es.com/img/benchmarks/poster_honest_portrait","text/html; charset=UTF-8","200","OK","Indexable","","MO§ES™ — Honest Comparison · Portrait","37","365","","0","0","","0","","0","","0","","0","","","","","","","","","","16845","4198","4198","0.622","","505","151","3.344","100.000","Very Easy","17.760","2","2","","1","1","0","6.250","0","0","0","0","0","0","","","","","1ac5b38ffa64e6418ea95306d26a5aba","0.290","","","","","en","1.1","","","","","","https://mos2es.com/img/benchmarks/poster_honest_portrait","2026-07-10 04:11:45"
"","","","","card_06_combined.png","1","https://mos2es.com/img/benchmarks/card_06_combined.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","61232","61232","61232","9.075","","0","","","","","0.000","2","2","","2","1","0","6.250","0","0","0","0","0","0","","","","","","0.250","","","","","","1.1","","","","","","https://mos2es.com/img/benchmarks/card_06_combined.png","2026-07-10 04:11:45"
"","","","","MOSES_HONEST_PORTRAIT.png","1","https://mos2es.com/img/benchmarks/MOSES_HONEST_PORTRAIT.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","182411","182411","182411","27.033","","0","","","","","0.000","2","2","","1","1","0","6.250","0","0","0","0","0","0","","","","","","0.536","","","","","","1.1","","","","","","https://mos2es.com/img/benchmarks/MOSES_HONEST_PORTRAIT.png","2026-07-10 04:11:45"
"","","","","poster","1","https://mos2es.com/img/benchmarks/poster","text/html; charset=UTF-8","200","OK","Indexable","","MO§ES™ × 5 Measured Benchmarks","30","321","","0","0","","0","MO§ES™ × Artificial Analysis Coding Agent Benchmarks","52","","0","","0","","","","","","","","","","24002","4731","4731","0.701","","801","446","1.796","100.000","Very Easy","21.860","2","2","","1","1","0","6.250","0","0","0","0","0","0","","","","","fe7d41206060cb881ab28f53e6c13bc8","0.521","","","","","","1.1","","","","","","https://mos2es.com/img/benchmarks/poster","2026-07-10 04:11:45"
"","","","","poster_honest.html","1","https://mos2es.com/img/benchmarks/poster_honest.html","text/html; charset=UTF-8","200","OK","Indexable","","MO§ES™ — Honest Comparison vs. Field Average","44","439","","0","0","","0","","0","","0","","0","","","","","","","","","","13094","2994","2994","0.444","","266","91","2.923","100.000","Very Easy","10.910","2","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","a301266203e1f6d86e1e2ac6b43d9168","0.409","","","","","en","1.1","","","","","","https://mos2es.com/img/benchmarks/poster_honest.html","2026-07-10 04:11:46"
"","","","","poster_honest_portrait.html","1","https://mos2es.com/img/benchmarks/poster_honest_portrait.html","text/html; charset=UTF-8","200","OK","Indexable","","MO§ES™ — Honest Comparison · Portrait","37","365","","0","0","","0","","0","","0","","0","","","","","","","","","","16845","4179","4179","0.619","","505","151","3.344","100.000","Very Easy","17.760","2","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","1ac5b38ffa64e6418ea95306d26a5aba","0.455","","","","","en","1.1","","","","","","https://mos2es.com/img/benchmarks/poster_honest_portrait.html","2026-07-10 04:11:46"
"","","","","poster.html","1","https://mos2es.com/img/benchmarks/poster.html","text/html; charset=UTF-8","200","OK","Indexable","","MO§ES™ × 5 Measured Benchmarks","30","321","","0","0","","0","MO§ES™ × Artificial Analysis Coding Agent Benchmarks","52","","0","","0","","","","","","","","","","24002","4755","4755","0.705","","801","446","1.796","100.000","Very Easy","21.860","2","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","fe7d41206060cb881ab28f53e6c13bc8","0.132","","","","","","1.1","","","","","","https://mos2es.com/img/benchmarks/poster.html","2026-07-10 04:11:46"
"","","","","MOSES_UPDATED_VSRAW.pdf","1","https://mos2es.com/img/benchmarks/MOSES_UPDATED_VSRAW.pdf","application/pdf","200","OK","Indexable","","localhost:59872/#","17","161","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","2","","1","1","0","6.250","0","0","0","0","0","0","","","","","","0.257","","","","","","1.1","","","","","","https://mos2es.com/img/benchmarks/MOSES_UPDATED_VSRAW.pdf","2026-07-10 04:11:46"
"","","","","MOSES_BENCHMARK_POSTER.pdf","1","https://mos2es.com/img/benchmarks/MOSES_BENCHMARK_POSTER.pdf","application/pdf","200","OK","Indexable","","MO§ES™ × 5 Measured Benchmarks","30","321","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","2","","1","1","0","6.250","0","0","0","0","0","0","","","","","","0.627","","","","","","1.1","","","","","","https://mos2es.com/img/benchmarks/MOSES_BENCHMARK_POSTER.pdf","2026-07-10 04:11:46"
"","","","","MOSES_UPDATED_VSRAW.png","1","https://mos2es.com/img/benchmarks/MOSES_UPDATED_VSRAW.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","71010","71010","71010","10.524","","0","","","","","0.000","2","2","","1","1","0","6.250","0","0","0","0","0","0","","","","","","0.637","","","","","","1.1","","","","","","https://mos2es.com/img/benchmarks/MOSES_UPDATED_VSRAW.png","2026-07-10 04:11:46"
"","","architecture","","","1","https://mos2es.com/architecture","text/html; charset=UTF-8","200","OK","Indexable","","MO§E§™ — Investor Architecture","30","292","","0","0","","0","MO§E§™ · Sovereign Architecture","31","","0","","0","","","","","","","","","","20804","5284","5284","0.783","","251","44","5.705","74.988","Fairly Easy","5.825","2","0","","3","3","0","18.750","0","0","0","0","0","0","","","","","1c6a5a03f73e36185eb441fedd4264d5","0.299","","","","","en","1.1","","","","","","https://mos2es.com/architecture","2026-07-10 04:11:47"
